#      Train        Test
       0.154         0.27 
       0.228         0.32 
       0.294          0.4 
       0.417          0.5 
       0.513         0.55 
       0.595         0.67 
       0.678         0.61 
       0.746         0.69 
       0.779         0.72 
       0.809         0.72 
       0.824         0.75 
       0.852         0.79 
       0.866         0.77 
       0.873         0.79 
       0.886         0.76 
       0.859         0.79 
       0.859         0.72 
        0.86         0.78 
       0.903          0.8 
       0.905         0.82 
        0.92         0.81 
       0.931         0.82 
       0.938         0.83 
       0.941         0.84 
        0.93          0.8 
       0.941         0.83 
       0.939         0.79 
       0.952         0.77 
       0.952          0.8 
       0.959         0.82 
       0.961         0.84 
       0.967         0.84 
       0.967         0.84 
       0.972         0.85 
       0.977         0.85 
       0.942         0.81 
       0.919         0.81 
       0.956         0.83 
       0.965         0.83 
        0.97         0.85 
       0.978         0.85 
       0.969         0.84 
       0.971         0.84 
       0.982         0.84 
       0.987         0.84 
       0.986         0.84 
       0.987         0.81 
       0.991         0.83 
       0.992         0.83 
        0.99         0.83 
       0.993         0.85 
       0.993         0.83 
       0.982         0.86 
       0.992         0.84 
       0.993         0.82 
       0.995         0.82 
       0.994         0.85 
       0.994         0.84 
       0.994         0.83 
       0.997         0.83 
       0.997         0.85 
       0.998         0.84 
       0.998         0.83 
       0.998         0.84 
       0.998         0.85 
       0.998         0.85 
       0.998         0.85 
       0.998         0.87 
           1         0.85 
       0.998         0.86 
       0.999         0.86 
           1         0.85 
           1         0.86 
           1         0.85 
       0.995         0.88 
           1         0.87 
           1         0.89 
       0.999         0.86 
           1         0.87 
           1         0.88 
           1         0.88 
           1         0.86 
           1         0.87 
           1         0.86 
           1         0.87 
           1         0.87 
           1         0.86 
           1         0.88 
           1         0.87 
           1         0.89 
           1         0.88 
           1         0.89 
           1         0.89 
       0.975         0.85 
       0.999         0.91 
           1         0.91 
           1         0.93 
           1         0.91 
           1         0.95 
           1         0.93 
