#      Train        Test
     12613.9      6.46765 
     6.43233      3998.41 
     825.662      5.35295 
      815.88      15539.8 
     819.995      4.47337 
     3.57676      3.40917 
     1227.88      3.76052 
     411.915      3.15608 
     2.26489      2.85975 
     819.403      2.88292 
     399.124      2.71817 
     412.522      2.67252 
     1.69962      2.49107 
      1.5829      2.40832 
     410.889      2.61847 
     412.343      2.45035 
     411.129      4051.14 
     396.512      2.52618 
     1.45723       2.3906 
     407.924      2.55793 
     1.39312      2.34118 
      1.3044      2.31652 
     1.24068       2.2249 
      1.1813      2.15863 
     407.741      2.20938 
     1.15064      4108.87 
     404.357      2.25983 
     1.07372      2.22237 
     1.03295      2.19578 
    0.986638      2.15613 
    0.946153      2.12148 
    0.914715      2.07338 
    0.882833      2.05403 
    0.859368      2.02613 
    0.828222      2.03568 
         409       2.3687 
     1.21926      2.22848 
     1.01838      2.13027 
    0.932843      2.07517 
    0.855097      3973.06 
    0.798428      4014.31 
     397.962       2.3025 
    0.868027      2.07392 
    0.766422       2.0081 
    0.727575      1.98222 
    0.702133      1.97695 
     403.847      2.13152 
    0.697095      3994.48 
    0.666367      3973.01 
    0.640068      1.95462 
    0.619913      3924.95 
     0.60254      4066.48 
     411.383      2.32148 
     0.65662      2.02895 
     0.58958      2.01712 
     0.57373      1.98202 
    0.557488        1.951 
     401.821      2.00047 
    0.559113      1.94638 
    0.535947       1.9492 
    0.517958      1.90045 
    0.504565      1.90313 
    0.490767      1.90055 
    0.479908       1.9086 
    0.467755      1.87848 
    0.457778      1.86852 
    0.450268      1.83913 
     0.44219      1.83247 
    0.437867      1.83453 
    0.426125      1.81015 
    0.418925      1.82455 
     0.41088      1.81023 
    0.401513       1.8012 
    0.392517      1.80123 
     407.011        1.957 
    0.454902      1.86295 
     0.42244       1.8308 
    0.403023      3839.28 
    0.387767      1.78928 
    0.379428      1.77008 
    0.370823      3869.66 
    0.367658      3924.79 
    0.355442      1.79535 
    0.348463      3771.14 
    0.344528      1.75178 
    0.340278      3898.14 
    0.335907       3924.8 
    0.328687      7932.98 
    0.319542      7973.11 
    0.319013      8018.52 
     0.31481      7997.95 
    0.309087      8037.33 
    0.301512       8037.3 
     407.025      3806.95 
    0.484063      3806.52 
     0.38224      3733.32 
    0.348117       3924.8 
    0.331107      3924.78 
     0.31722      3924.74 
    0.305772      3924.73 
