#      Train        Test
   0.0872795     0.117424 
    0.151346     0.140152 
    0.177344    0.0833333 
   0.0872795    0.0871212 
    0.103064     0.102273 
    0.106778    0.0795455 
   0.0891365     0.106061 
    0.133705    0.0984848 
   0.0835655    0.0795455 
   0.0891365     0.102273 
    0.108635     0.113636 
    0.104921    0.0833333 
    0.090065    0.0871212 
    0.086351    0.0795455 
    0.090065    0.0795455 
   0.0947075     0.140152 
    0.144847     0.166667 
    0.149489     0.136364 
    0.162488     0.166667 
    0.158774     0.162879 
    0.155989     0.151515 
    0.178273     0.185606 
    0.181987     0.170455 
    0.176416     0.117424 
    0.155989     0.166667 
    0.181058     0.147727 
    0.149489     0.162879 
     0.18663     0.204545 
    0.238626     0.189394 
    0.197772     0.166667 
    0.170845     0.151515 
    0.190344     0.181818 
    0.229341     0.212121 
    0.264624     0.257576 
    0.278552         0.25 
    0.284123     0.276515 
    0.303621     0.268939 
    0.282266     0.253788 
    0.310121     0.253788 
    0.301764     0.223485 
    0.313835      0.30303 
    0.373259     0.337121 
    0.373259     0.340909 
    0.399257     0.386364 
    0.404828     0.352273 
    0.390901     0.363636 
     0.46611     0.439394 
    0.494893     0.522727 
    0.538533          0.5 
    0.590529     0.583333 
