#      Train        Test
     16.3794      14.1043 
     13.8715      13.9483 
     13.7719      14.9623 
     14.1963      15.1679 
     14.2066      14.5644 
      14.165      15.0677 
     14.1666      15.8102 
     13.9862      16.0989 
     14.2057      14.2692 
     14.2349      14.2043 
     13.9479      14.1571 
     14.0745      14.2199 
      14.183       14.234 
     14.1438      14.2635 
     14.0732      14.2785 
     13.9319      13.6491 
     13.6916       13.715 
     13.5565      13.5759 
     13.3671      13.3575 
      13.463      13.4922 
     13.4686       13.453 
     13.2706      13.4319 
     13.2796      13.6764 
     13.3423      14.2367 
     13.3832      13.7709 
     13.1623      13.5593 
     13.3385      13.8126 
     13.2038      13.2319 
     12.9189      13.2216 
     12.9634      13.3116 
     13.0272      13.5043 
     12.9892      13.3695 
      12.908      13.5051 
      12.351      12.8826 
     12.2316      12.7735 
     12.1378      12.3137 
     11.8231      13.1265 
     12.0514      12.8996 
     11.9219      12.7548 
     11.9712      12.8442 
      11.475      12.1614 
      10.869      11.7831 
     10.6973      11.9796 
     10.4357       11.976 
     10.3674      11.7057 
     10.3629      11.3413 
     9.85836      11.3808 
      9.5977      10.2721 
     9.20332      10.5795 
     8.59394      9.36291 
