#      Train        Test
    0.190344     0.231061 
    0.159703     0.223485 
    0.168988     0.132576 
    0.110492     0.132576 
    0.129991     0.143939 
    0.146704     0.238636 
    0.142061     0.140152 
    0.130919     0.140152 
    0.144847     0.159091 
    0.172702     0.143939 
     0.17363     0.181818 
    0.172702     0.166667 
     0.18013     0.208333 
    0.206128     0.215909 
    0.224698     0.246212 
    0.203343     0.242424 
    0.215413     0.208333 
    0.224698     0.280303 
    0.280409     0.325758 
    0.278552     0.306818 
    0.267409     0.208333 
    0.220056     0.238636 
    0.247911     0.318182 
    0.287837     0.359848 
    0.325905     0.268939 
    0.293408     0.276515 
    0.269266     0.337121 
    0.312906     0.265152 
    0.297122     0.295455 
    0.276695     0.314394 
    0.293408     0.318182 
     0.28598     0.268939 
    0.317549     0.314394 
    0.346332     0.371212 
    0.421541     0.390152 
    0.467967     0.431818 
    0.508821     0.401515 
    0.514392     0.454545 
    0.519963     0.462121 
    0.530176     0.537879 
     0.54039     0.549242 
    0.592386     0.606061 
    0.628598     0.609848 
    0.660167     0.602273 
    0.697307     0.674242 
    0.717734      0.67803 
    0.754875     0.708333 
    0.767874     0.727273 
    0.762303     0.715909 
    0.780873     0.712121 
    0.770659     0.734848 
    0.763231     0.731061 
    0.788301     0.708333 
    0.800371     0.708333 
    0.810585     0.731061 
    0.799443     0.776515 
    0.792943     0.731061 
    0.834726      0.80303 
    0.832869     0.776515 
    0.857939     0.791667 
    0.896007     0.776515 
    0.884865     0.757576 
    0.901578      0.80303 
    0.885794     0.765152 
    0.911792     0.799242 
    0.920149     0.825758 
    0.903435     0.795455 
    0.903435     0.825758 
    0.922934     0.837121 
    0.930362     0.825758 
    0.939647     0.844697 
    0.934076     0.810606 
    0.932219     0.840909 
    0.935005     0.856061 
    0.948004     0.837121 
    0.931291     0.837121 
    0.949861     0.840909 
    0.949861     0.856061 
    0.940576     0.844697 
    0.953575     0.829545 
    0.950789     0.810606 
    0.945218     0.852273 
    0.950789     0.856061 
    0.960074     0.867424 
     0.95636     0.856061 
    0.961931     0.867424 
    0.959146     0.859848 
    0.966574     0.840909 
    0.961003     0.852273 
    0.961931     0.840909 
     0.96286     0.856061 
    0.967502     0.840909 
    0.964717     0.863636 
    0.965645     0.878788 
    0.963788     0.867424 
    0.971216     0.848485 
    0.969359     0.848485 
    0.969359     0.867424 
    0.971216     0.871212 
    0.968431     0.848485 
    0.968431     0.856061 
    0.974002     0.852273 
    0.978644     0.867424 
    0.970288     0.867424 
    0.971216     0.890152 
    0.968431     0.878788 
    0.975859     0.859848 
    0.973073        0.875 
    0.975859     0.882576 
    0.975859     0.856061 
    0.976787     0.852273 
    0.974002     0.878788 
    0.973073     0.856061 
    0.978644        0.875 
    0.975859        0.875 
    0.978644     0.882576 
    0.976787        0.875 
     0.97493     0.863636 
    0.978644     0.882576 
    0.979573        0.875 
    0.977716     0.882576 
    0.979573     0.863636 
    0.975859     0.871212 
     0.98143     0.878788 
    0.979573     0.882576 
    0.977716     0.871212 
     0.98143        0.875 
    0.984215     0.863636 
    0.985144     0.878788 
    0.977716     0.859848 
    0.980501        0.875 
    0.983287     0.897727 
    0.979573     0.856061 
    0.986072     0.886364 
    0.983287     0.867424 
    0.980501     0.859848 
    0.975859     0.878788 
    0.982358        0.875 
    0.978644     0.882576 
    0.978644     0.867424 
    0.984215     0.890152 
    0.986072     0.890152 
    0.978644     0.882576 
    0.985144     0.893939 
    0.987929     0.878788 
    0.985144        0.875 
    0.986072        0.875 
    0.987929     0.897727 
    0.987929     0.871212 
    0.983287     0.882576 
     0.98143     0.893939 
    0.986072     0.867424 
    0.987929     0.893939 
    0.983287     0.882576 
    0.987001     0.863636 
    0.988858     0.882576 
    0.985144     0.863636 
    0.985144     0.878788 
    0.987929        0.875 
    0.989786     0.882576 
    0.987929     0.890152 
    0.980501     0.905303 
    0.987001     0.871212 
