#      Train        Test
     15.7256      13.5108 
     13.8116      13.1587 
     13.6562      13.8319 
     14.0563      14.2391 
      13.889      13.6948 
     13.7167      13.1492 
     13.7392      13.5434 
     13.7798      13.8282 
     13.6259      13.5221 
      13.516       13.529 
     13.6644      14.5716 
      13.693      13.5642 
      13.328      13.1607 
     13.0132      13.4594 
     12.9229       12.879 
     13.0408      13.0338 
     12.9046       13.207 
     13.0741      12.3495 
     12.6795      12.1421 
     12.4555      12.1617 
     12.6165      13.2028 
     12.7613      13.0338 
     12.5555      12.9039 
     12.4418      12.1359 
     12.3054      12.7284 
     12.1501      12.6139 
     12.3336      12.3905 
     12.0338      12.7478 
     12.3234      12.4571 
     12.4104      13.2172 
     12.0426      12.4201 
     12.2474      12.8051 
     11.6498      12.2153 
     11.5337      11.4922 
     10.6765      11.5311 
     10.3801      10.6468 
     9.73905      11.1025 
     9.66378       10.051 
     9.32872      9.89489 
     9.20363      9.23537 
     8.86439      8.85305 
     8.14216      7.93809 
     7.70856      7.78523 
     7.07977      7.57574 
     6.64085      6.47609 
     6.55417      6.80224 
     5.98592      6.32662 
     5.74761      6.14236 
     5.93598      6.35157 
     5.42769      5.88664 
     5.23303      5.62177 
     5.00268      5.58724 
     4.96547      5.64875 
     4.82728      5.53746 
     4.74869      5.41605 
     4.66033      4.85002 
     4.58942      5.22873 
     4.25438       4.9279 
     4.27762      5.17868 
     4.21344      4.87473 
     3.79433      4.80399 
     3.88249      5.00951 
     3.66634      4.43175 
     3.74064      4.92935 
     3.47433      4.57827 
     3.27247      4.29852 
     3.50827      4.35179 
      3.4804      4.36024 
     3.13228      3.90615 
     3.10874      3.91396 
     2.91326      3.88263 
     3.04149      4.29792 
     2.88621      4.03866 
     2.88669      3.88435 
     2.72917      4.00542 
     2.69615       4.1154 
     2.69413      3.90465 
     2.60357      3.69335 
     2.48656      3.72158 
     2.60488      3.71706 
      2.5092      3.86882 
     2.53593      3.84594 
     2.38434      3.65512 
     2.38258      3.61172 
     2.36389      3.49445 
     2.35799        3.904 
     2.37289      3.66086 
     2.26149       4.0427 
     2.27403      3.62292 
     2.25345      3.57524 
     2.14694      3.43078 
     2.11455      3.71412 
     2.16594      3.59942 
     2.07967      3.27077 
     2.08892      3.35969 
     2.02047       3.4786 
      2.0253       3.9581 
     2.11097      3.30319 
     2.02987      3.16002 
     2.01773      3.38103 
     2.01729      3.53852 
     1.98835      3.54708 
     1.93108      3.30873 
     1.91777      3.40029 
     1.89389      3.58775 
     1.94366      3.11246 
      1.8889      3.56036 
     1.81388      3.05902 
     1.88911      3.51751 
     1.83344      3.32482 
     1.84919      3.39497 
     1.85286      3.46327 
      1.8771      3.52378 
     1.83695      3.33782 
     1.81184      3.01827 
     1.77158      3.04688 
     1.75123      3.50486 
     1.73292      3.33624 
     1.78305      3.19776 
     1.74238      3.19491 
     1.73071      3.10356 
     1.69449      3.32435 
     1.70918      3.08665 
     1.61477      2.99555 
     1.68267      3.13599 
     1.70319      3.02553 
     1.70411      2.96146 
     1.66659      3.06741 
     1.71787      3.03485 
      1.7033      3.39041 
     1.60956      3.27175 
     1.65908       3.1337 
     1.63904      3.49648 
     1.65839      2.94998 
     1.65653      2.91635 
     1.69968      3.23836 
     1.63694      3.27415 
     1.59231      3.04801 
     1.58934       3.0956 
     1.63657      3.10493 
     1.64446      3.11809 
     1.58868       2.9862 
     1.61404      3.00405 
     1.54648      2.85764 
     1.58442      3.06565 
     1.58797      3.00137 
     1.52138      3.14784 
     1.51354      2.91357 
     1.53449      3.29311 
     1.49193      3.19164 
     1.50623      3.11224 
     1.54794      3.18303 
     1.51095      2.98664 
      1.4952      3.00282 
     1.54118       3.3186 
     1.51775      3.36958 
     1.52717      3.01967 
     1.55288      3.14346 
     1.57481      3.39946 
     1.47621      2.92888 
     1.45123      3.08336 
     1.53188       2.8118 
     1.44591      3.29144 
     1.49868      2.92141 
     1.46133      3.32748 
     1.44237      3.20601 
     1.50631      2.91493 
     1.42656      3.02685 
     1.39929      2.93245 
     1.41108      3.03478 
     1.40254      2.85082 
     1.45235      3.17455 
     1.43345      3.04955 
     1.46532      3.01308 
     1.42734      3.26224 
     1.45746      3.20686 
     1.42829      3.21742 
     1.42513      3.13949 
      1.4742      3.00854 
     1.42153      2.83432 
     1.40627      3.09712 
     1.42424      3.10899 
     1.44689      3.08096 
     1.45186      3.17516 
     1.38108      3.03054 
     1.42587      3.20901 
     1.42658      3.20538 
     1.34289      2.99475 
     1.34456      2.91945 
     1.31826      3.08832 
     1.36696      2.99796 
     1.35071      3.11999 
      1.3627      3.18612 
     1.31535      3.07111 
     1.35819      3.00726 
     1.26402      2.95827 
     1.32003      2.90916 
     1.36327      3.27206 
     1.35491      3.12708 
     1.30236      2.81071 
     1.28397      3.00315 
     1.32861      2.96766 
      1.2721      2.93403 
      1.2939      2.79089 
     1.31387      2.99612 
     1.25573       3.1365 
     1.31186      2.71782 
     1.32999      2.76724 
     1.32244      3.02454 
     1.29926      2.92278 
     1.28195       2.7889 
     1.26926      2.98613 
     1.22503      2.86234 
      1.2452      2.91161 
     1.24967      2.82394 
     1.24863      2.76223 
     1.21176      2.83208 
     1.24887      2.97006 
     1.28703      2.84367 
     1.19653       2.9758 
     1.25535      2.88989 
     1.28861      2.79208 
     1.28408      2.98707 
     1.22279       2.8396 
      1.3185      2.76125 
     1.22639      3.02034 
     1.31797       2.9986 
     1.27786      3.10727 
     1.27513      2.96913 
       1.222      2.95384 
     1.28661      2.62519 
     1.24049      2.91039 
      1.2473      2.86904 
     1.23371       3.0927 
     1.27133       2.8717 
     1.25124      3.05668 
     1.26118      3.03374 
     1.24966      3.07576 
     1.25633      2.77065 
     1.19815      2.84448 
     1.24789      2.86613 
      1.2635      2.92732 
     1.19951       2.7617 
     1.19564      2.74874 
     1.24761      2.88354 
     1.26926      2.68768 
     1.19682      2.83763 
     1.18554      2.86102 
     1.25672      3.24782 
     1.22626       2.7541 
     1.19558      2.75472 
     1.16266      2.95676 
     1.16368      2.81534 
     1.21309      2.92879 
     1.17593      2.95154 
     1.20241      3.03691 
     1.16194      2.82548 
     1.20375      2.70376 
     1.19298      3.01051 
     1.18184      2.68851 
     1.17623      2.80658 
     1.19664      2.83947 
      1.1961      2.95687 
     1.20354       2.9586 
     1.16516      2.69853 
     1.20038      3.00793 
     1.23707      3.00484 
     1.15319        2.849 
     1.17629      2.99315 
     1.17148      3.01895 
     1.13987      2.95975 
     1.19041      2.92952 
     1.16867      2.85596 
      1.1551      2.94524 
     1.13635      3.12881 
     1.12638      3.00807 
     1.13126       2.8949 
     1.17424      2.93942 
     1.15466      2.85057 
     1.15374      2.93012 
     1.12527      2.96317 
     1.18058      3.09793 
     1.16964      2.53972 
     1.12981      2.83762 
     1.13841       3.0007 
     1.14397      3.18283 
      1.1492      2.99382 
     1.14143      2.78701 
     1.13507      2.90409 
     1.11482      2.83247 
     1.11999      2.78523 
     1.17754      2.75506 
     1.16443      2.83697 
     1.18008      2.79892 
     1.12696      2.82023 
     1.12991      2.77576 
     1.14855      2.90057 
     1.11081      2.85078 
     1.15212      2.98855 
      1.1014      2.82866 
     1.13718      2.80645 
     1.11036      3.03557 
      1.1408      3.20219 
     1.10998      2.75836 
     1.13228      2.80922 
     1.11387      2.93064 
     1.13234      2.80364 
     1.14075      2.83043 
     1.11349      3.14378 
     1.07703      2.92206 
     1.08615      3.15954 
     1.11503      2.91005 
     1.09856      2.96222 
     1.08756       3.0216 
     1.12106       2.8953 
     1.11083      3.02031 
     1.12644      2.77894 
     1.10653      3.13181 
     1.08763      2.83646 
     1.09885      2.97347 
     1.14271      2.89358 
     1.12433      2.92476 
     1.09601      2.86561 
     1.11891      2.84057 
     1.07258      2.81374 
     1.11205      2.75411 
     1.09929      2.68629 
     1.08819      2.79786 
     1.06048      2.69128 
     1.08825      2.70741 
     1.10231      3.12095 
     1.07932      2.90175 
     1.09031      2.75896 
     1.11025      2.77316 
     1.12268      2.88695 
     1.06529      2.76491 
     1.06177      2.79569 
     1.11113      2.88002 
     1.10799      2.72296 
     1.05724      3.08271 
     1.12592      2.63037 
     1.08319      2.85219 
     1.06019      2.89187 
     1.06067      2.81742 
     1.04734       2.6254 
     1.06085      2.73318 
     1.05293      2.85739 
     1.06097      2.70681 
     1.04559      2.75843 
     1.07916      2.92216 
     1.04669      2.72779 
     1.08339      2.61755 
