#      Train        Test
       0.018            0 
       0.002            0 
       0.004            0 
       0.005            0 
       0.007            0 
       0.008            0 
       0.011            0 
       0.021         0.02 
       0.064         0.14 
       0.089         0.13 
       0.129         0.13 
       0.223          0.2 
       0.296         0.24 
       0.463         0.39 
       0.477         0.47 
       0.565         0.45 
       0.532         0.38 
       0.453         0.38 
       0.418         0.38 
       0.491         0.47 
       0.518          0.5 
       0.532         0.47 
       0.534         0.51 
       0.531         0.51 
       0.537         0.52 
       0.537         0.47 
       0.404         0.31 
       0.412         0.43 
       0.447         0.45 
        0.47         0.46 
       0.477         0.48 
       0.506         0.49 
       0.549         0.54 
       0.553         0.53 
       0.555         0.55 
       0.567         0.57 
       0.546         0.59 
       0.512         0.63 
       0.544         0.66 
       0.583         0.67 
       0.624         0.69 
       0.676         0.72 
       0.665         0.66 
       0.679         0.71 
        0.69         0.68 
       0.721         0.71 
       0.737         0.76 
       0.755         0.77 
       0.772         0.82 
       0.786         0.81 
