#      Train        Test
       34027      31275.2 
     412.459      7.56367 
     824.965      7.63292 
     416.981       7.6519 
       7.646      7.63852 
     7.58417      7.61175 
     7.39779      7.44882 
     1609.03      7.59373 
     7.54467      4087.13 
     413.973      7.47428 
     406.819      7.60197 
     404.568      7.46662 
     7.16395      7.06855 
     408.003       6.9813 
     413.346      6.74258 
     6.69306      6.37398 
     403.354      5.96575 
     400.832      6.29082 
     5.96158      5.63125 
     5.46698      5.24838 
      399.99      5.57173 
     413.768      5.65682 
     5.46909      5.35407 
     5.04929      4.96573 
     4.79377      4.75028 
     399.667      5.03108 
     4.84983      4.71443 
     4.46001      4.28373 
     4.08516      4.01823 
     394.189      4.65315 
     4.42419      4.32645 
     408.941      4.52555 
     3.93969      4.03205 
     3.44066       3.5485 
     393.234      3.88777 
     3.56561      3.72812 
      3.4238       3.6006 
     3.29646      3.48503 
     3.18805      3.44642 
     412.577      3.45803 
      3.1268      3.33747 
     3.02164      3.24542 
     368.196      3.79282 
     367.969      3.95363 
     3.60383      3.70467 
     3.49677      3.69672 
     402.611       4.1695 
     3.43463      3.68238 
     3.18453      3.52498 
     3.03375      3.29838 
     2.81057        3.053 
      2.4343      2.76892 
     2.06211      2.58838 
     1.91175      2.47348 
     1.81977      2.35675 
     1.76309      2.28627 
     412.985      2.78013 
     2.35411       2.7248 
     413.434      3.25383 
     2.75436       3.1182 
     2.65915      3.11028 
     2.57526      2.99117 
     2.45127       2.7999 
     2.27491      2.57065 
     2.16909       2.5126 
     2.12488      2.52253 
     2.10035      2.46285 
     2.06632      2.44027 
     2.03289       2.4298 
      2.0108      2.43237 
     1.97987      2.39275 
     1.96778      2.39943 
     1.94856      2.36672 
     1.93393      2.32555 
     1.90349      2.39375 
     397.264      2.81773 
     2.52277      2.84352 
     397.612      3.55867 
     3.04774       3.3818 
     2.84588      3.20597 
     2.60412      2.89115 
     2.25842      2.62258 
     2.06218         2.58 
     2.01119      2.51537 
     1.97243      2.51712 
     1.93675      2.44965 
     1.91821      2.46532 
     1.89634      2.39378 
     1.86856      2.41628 
      1.8635      2.35932 
     399.216      2.99228 
     2.50666      2.96512 
     2.38506      2.64602 
     1.91591      2.45782 
     1.84377      2.45103 
     1.80631      2.39035 
      1485.2      2.75235 
      2.4877      2.62618 
     2.42598      2.56198 
     2.38337      2.54492 
